Plant Name,Soil Moisture,Sunlight Intensity,Temperature,Humidity
Sweet Alyssum,22.62,67900.64,11.08,50.06
Butea Monosperma,61.43,65670.77,28,86.49
Gomphrena,26.39,64955.94,26.99,22.27
Gladiolus,11.23,65061.1,33.58,69.66
Bluebell,39.28,48420.84,28.93,23.56
Nag Champa,43.75,49916.05,34.27,33.64
Bluebell,68.67,58735.54,27.95,62.08
Shankhpushpi,48.89,18914.07,15.89,64.37
Cosmos,16.86,21878.74,10.97,39.02
Red Silk Cotton Tree,42.58,70951.2,21.04,47.19
Mussaenda,78.57,20286.07,19.18,64.93
Bakul,57.5,43464.24,37.81,66.28
Snapdragon,54.29,69126.69,19.6,83.51
Neelakurinji,11.34,29066.19,30.91,68.97
Queen's Crape Myrtle,51.58,32259.65,13.56,55.03
Globe Amaranth,10.54,35296.81,37.89,83.83
Hibiscus,53.91,17758.86,19.83,60.81
Jasmine,51.06,50911.43,11.65,59.83
Crape Jasmine,20.48,13546.52,15.41,88.03
Hydrangea,51.21,75722.05,10.25,85.29
Shankhpushpi,38.05,23071.17,13.51,73.22
Cosmos,15.26,48625.32,13.47,20.11
Indian Laburnum,53.57,38387.4,22.63,36.24
Kaner,60.27,41749.99,15.78,67.17
Cosmos,13.33,64320.14,32.65,21.26
Pansy,42.47,47244.19,34.94,37.14
Orange Trumpet Vine,14.87,61694.89,12.12,21.34
Calla Lily,42.13,26445.95,36.19,80.29
Orchid,37.02,34081.77,25.38,60.68
Jasmine,25.32,53100.95,31.37,36.15
Tulip,69.36,56598.87,39.32,21.38
Lotus,59.04,39777.65,13.27,78.21
Canna Lily,29.67,77330.98,35.67,68.31
Orange Trumpet Vine,42.36,78348.52,35.84,76.55
Dombeya,76.56,59281.51,38.19,45.46
Indian Hawthorn,66.33,58387.69,12,88.64
Rose,39.13,38632.53,15.59,39.47
Carnation,52.26,70847.5,34.58,23.51
Madhumalti,16.22,64516.79,39.62,25.66
Parijat,78.06,67152.2,21.97,44.2
Rain Lily,37.42,27121.62,29.89,42.54
Salvia,16.82,38010.03,16.05,53.89
Ixora,73.87,68424.61,22.88,64.2
Indian Coral Tree,48.92,42432.04,15.85,81.71
Lavender,62.64,28809.17,35.1,88.37
Saraca Asoca,25.6,33009.82,12.68,58.75
Adenium,52.34,30951.99,38.91,43.97
Clematis,39.31,12246.52,13.77,44.28
Indian Pennywort,53.38,67720.39,31.95,28.74
Lavender,67.99,68010.16,29.11,50.89
Foxglove,56.94,69574.79,15.99,72.37
Kaempferia,75.18,50689.26,15.31,20.54
Indian Hawthorn,34.46,27655.7,37.73,20.65
Saraca Asoca,70.17,10144.51,39.27,88.47
Mussaenda,10.33,45619.79,29.57,41.45
Mussaenda,18.29,18575.72,37.65,82.74
Orange Trumpet Vine,63.7,71010.29,15.62,59.56
Camellia,57.06,21597.61,33.13,89.46
Globe Amaranth,13.85,52350.95,31.53,20.44
Dombeya,14.23,76772.2,26.69,46.2
Hydrangea,24.55,28358.57,10.9,70.04
Indian Laburnum,40.84,36816.3,18.01,65.06
Geranium,74.13,10595.18,39.55,87.24
Palaash,13.73,28684.97,34.7,50.74
Cockscomb,51.34,71768.15,13.66,80.42
Cosmos,25.13,67648.73,32.57,82.79
Dombeya,41.57,22224.95,32.16,82.31
Dahlia,10.77,35161.3,12.3,54.41
Calla Lily,32.28,29269.59,29.57,78.59
Lotus,10.88,76319.95,36.03,85.03
Red Silk Cotton Tree,62.98,33574.78,34.03,45.97
Tuberose,55.41,79500.51,20.8,72.11
Morning Glory,47.75,71464.15,24.74,44.11
Golden Shower,41.29,53384,19.88,70.76
Hydrangea,25.67,19647.9,13.99,78.79
Nigella,68.85,78839.64,31.62,67.91
Queen's Crape Myrtle,68.81,39645.98,39.56,30.01
Red Silk Cotton Tree,42.22,30925.13,36.42,50.93
Cosmos,45.48,24554.52,10.99,75.67
Shankhpushpi,10.67,56339.58,25.24,78.78
Pansy,50.01,67452.05,23.15,25.92
Daffodil,16.47,52252.96,28.35,76.71
Queen's Crape Myrtle,53.52,78700.95,34.43,46.22
Rain Lily,34.79,37404.96,21.69,89.62
Lotus,61.68,14206.33,29.41,84.44
Frangipani,25.19,47304.65,29.73,28.26
Hollyhock,44.39,47658.16,13.42,38.75
Hibiscus,29.81,64860.84,20.96,53.25
Cosmos,43.08,22660.65,37.09,67.92
Cosmos,67.27,53288.54,19.58,89.21
Salvia,28.5,35441.69,34.62,33.68
Showy Medinilla,75.2,23259.06,25.98,50.88
Freesia,53.37,12726.83,36.27,87.06
Indian Laburnum,61.4,39559.92,28.05,68.57
Frangipani,30.62,57369.96,38.52,45.08
Daisy,42.19,70345.18,39.78,20.1
Snapdragon,57.54,60913.01,14.31,33
Daisy,13.6,19596.85,31.01,21.43
Sundew,75.47,60290.14,26.27,64.45
Marigold,70.44,52236.59,18.57,66.86
Rain Lily,33.56,62424.88,18.57,55.59
Peony,46.83,56452.08,28.16,68.07
Dombeya,58.18,24403.93,10.01,35.07
Verbena,19.35,74021.8,23.66,40.29
Jasmine,41.98,73137.25,22.7,60.53
Camellia,12.11,46539.02,32.73,47.98
Ixora,64.47,44858.31,10.42,47.51
Primrose,24.27,40056.73,21.6,69.07
Peony,72.68,46672.46,39.92,67.05
Cosmos,11.86,64569.7,25,36.59
Verbena,71.34,26685.24,19.87,43.54
Snapdragon,75.92,68697.77,35.71,24.63
Frangipani,44.87,28189.63,31.78,46.48
Clematis,55.66,70107.17,27.61,46.87
Celosia,58.89,74780.06,14.07,72.4
Rain Lily,78.67,45726.07,37.99,40.71
Ranunculus,14.94,61465.92,38.45,86.37
Buttercup,13.03,27568.11,27.93,31.52
Lotus,44.13,45863.56,29.14,84.99
Kadamba,73.87,57443.86,31.46,51.46
Cockscomb,75.46,23183.73,37.27,24.46
Camellia,52.79,32249.62,27.37,36.56
Parijat,23.68,63275.01,20.15,44.17
Daffodil,71.11,64630.5,32.12,68.74
Queen's Crape Myrtle,22.85,20281.51,39.31,53.52
Indian Laburnum,53.64,72020.57,30.64,67.35
Glory Lily,29.41,72647.49,11.89,35.27
Ranunculus,36.12,62142.75,13.35,51.66
Butea Monosperma,19.71,26731.95,20.49,40.53
Chrysanthemum,46.79,51236.19,21.38,32.84
Peony,38.6,22063.49,28.43,48.33
Indian Laburnum,53.13,77078.51,13.16,33.66
Lavender,37.02,73273.97,35.33,55.57
Nigella,73.19,61504.02,14.05,50.65
Foxglove,59.25,40663.86,15.09,62.66
Pansy,21.65,46719.24,12.58,81.17
Begonia,18.45,24426.68,24.23,38.68
Begonia,43.41,55465.49,21.57,88.47
Lotus,27.42,71842.24,33.83,31.63
Kaempferia,33.53,63086.75,35.78,36.88
Rohira,28.3,13549.53,34.23,50.51
Bluebell,24.07,67842.78,17.88,71.79
Nag Champa,63.8,47138.78,30.29,86.74
Verbena,18.39,77865.72,10.58,21.03
Evening Primrose,63.7,21298.84,12.73,58.76
Jasmine,78.25,27845.74,24.67,49.24
Rain Lily,75.03,66522.88,23.92,40.98
Pansy,49.94,70924.73,38.3,59.75
Sacred Lotus,68.13,46290.33,31.75,56.04
Periwinkle,30.49,22651.91,15.74,79.6
Lavender,38.18,69544.13,32.91,24.42
Tuberose,75.21,73204.79,19.44,84.07
Marigold,38.18,16818.46,17.23,45.29
Bougainvillea,78.34,54073.61,16.94,40.3
Hydrangea,54.08,64214.69,38.61,84.74
Tuberose,47.52,57066.42,27.59,58.42
Zinnia,57.96,39890.7,24.8,80.41
Balsam,79.03,68111.91,21.18,79.97
Butterfly Pea,50.86,33026.01,30.64,69.58
Marigold,36.67,17494.26,12.65,85.67
Kaner,53.73,12044.3,31.86,82.89
Adenium,53.48,79910.97,38.95,81.64
Poppy,39.88,49020.33,13.9,49.81
Hydrangea,64.81,47200.21,39.04,77.75
Lily,59.95,31368.31,30.81,83.04
Peony,36.37,71930.72,24.7,46.94
Golden Shower,29.94,36015.1,38.36,25.35
Snapdragon,40.49,73103.32,27.22,83.11
Buttercup,18.36,22224.55,27.22,50.11
Orange Trumpet Vine,25.74,38110.62,39.56,65.41
Crape Jasmine,38.16,33524.65,25.5,63.59
Sacred Lotus,51.99,53008.44,25.84,40.83
Harsingar,49.24,11334.08,10.25,52.74
Marigold,32.72,30907.8,28.57,68.75
Periwinkle,65.84,21621.56,39.17,21.95
Indian Coral Tree,52.36,18646.41,31.56,36.17
Neelakurinji,31.67,35100.92,34.58,42.16
Cosmos,36.24,23289.82,15.59,48.63
Indian Cork Tree,69.61,50326.12,31.6,87.59
Adenium,52.18,50577.52,20.79,22.56
Showy Medinilla,25.86,36931.69,39.25,60.57
Buttercup,61.81,50148.93,12.21,39.42
Foxglove,26.94,14180.18,37.17,68.12
Rain Lily,18.21,40363.19,25.4,23.16
Nigella,54.16,36030.6,22.69,31.86
